                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.31574,                0.23894,                0.92484,                 0.8741,                0.84761,                0.92034,                0.79732,                0.56654,                0.49195,                 1.1025,               0.003862,               0.003862,               0.003862
                     95,                0.31857,                0.24187,                0.92822,                0.87105,                0.85151,                0.91998,                0.79782,                0.56635,                 0.4923,                 1.1022,               0.003796,               0.003796,               0.003796
                     96,                0.31539,                0.23725,                0.92288,                0.87215,                0.85022,                 0.9198,                0.79741,                0.56685,                0.49213,                 1.1033,                0.00373,                0.00373,                0.00373
                     97,                0.31213,                0.23748,                0.92353,                0.87059,                  0.852,                0.91982,                0.79797,                0.56691,                0.49294,                 1.1035,               0.003664,               0.003664,               0.003664
                     98,                0.31235,                 0.2351,                0.92229,                0.87705,                0.84738,                0.91962,                0.79818,                0.56748,                0.49271,                 1.1041,               0.003598,               0.003598,               0.003598
                     99,                0.31195,                 0.2324,                0.92285,                0.87393,                  0.852,                0.91969,                0.79795,                0.56767,                0.49214,                 1.1041,               0.003532,               0.003532,               0.003532
                    100,                0.30911,                0.23257,                0.91772,                0.88167,                0.84523,                0.91973,                0.79843,                0.56704,                0.49211,                 1.1034,               0.003466,               0.003466,               0.003466
                    101,                0.30726,                0.22815,                0.91915,                0.87991,                0.84664,                 0.9188,                0.79785,                0.56765,                0.49277,                 1.1042,                 0.0034,                 0.0034,                 0.0034
                    102,                0.30513,                0.22552,                 0.9165,                0.87804,                0.84615,                0.91885,                0.79727,                0.56773,                0.49227,                 1.1044,               0.003334,               0.003334,               0.003334
                    103,                0.30509,                 0.2214,                0.91756,                0.87743,                0.84713,                0.91798,                0.79661,                 0.5669,                0.49203,                 1.1034,               0.003268,               0.003268,               0.003268
                    104,                0.30187,                0.22153,                0.91383,                0.87711,                0.84421,                0.91757,                0.79695,                0.56688,                0.49178,                 1.1033,               0.003202,               0.003202,               0.003202
                    105,                0.29897,                0.21715,                0.90924,                0.87626,                0.84421,                0.91732,                0.79657,                0.56734,                0.49115,                  1.104,               0.003136,               0.003136,               0.003136
                    106,                0.29932,                0.21749,                0.91247,                0.88672,                0.83457,                0.91677,                0.79702,                0.56736,                0.49098,                  1.104,                0.00307,                0.00307,                0.00307
                    107,                0.29544,                0.21475,                0.91035,                0.88838,                0.83398,                0.91632,                0.79699,                0.56727,                  0.491,                 1.1036,               0.003004,               0.003004,               0.003004
                    108,                0.29712,                0.21187,                0.91027,                0.89477,                0.83009,                0.91587,                0.79646,                0.56762,                0.49099,                 1.1038,               0.002938,               0.002938,               0.002938
                    109,                0.29364,                0.21323,                0.90608,                0.89588,                0.82814,                0.91575,                0.79658,                0.56788,                0.49112,                  1.104,               0.002872,               0.002872,               0.002872
                    110,                0.29336,                0.20984,                 0.9073,                0.89472,                 0.8275,                0.91583,                0.79698,                0.56744,                0.49154,                 1.1036,               0.002806,               0.002806,               0.002806
                    111,                0.29008,                0.20984,                0.90416,                0.89229,                0.83057,                0.91632,                0.79714,                0.56768,                0.49127,                 1.1042,                0.00274,                0.00274,                0.00274
                    112,                0.28966,                0.20654,                0.90648,                0.89314,                0.83013,                0.91538,                0.79665,                0.56819,                0.49102,                 1.1048,               0.002674,               0.002674,               0.002674
                    113,                0.28666,                0.20293,                0.90374,                0.89316,                 0.8303,                0.91518,                0.79585,                0.56839,                0.49058,                 1.1049,               0.002608,               0.002608,               0.002608
                    114,                0.28606,                0.20325,                0.90089,                0.89498,                0.82863,                0.91466,                0.79624,                0.56823,                0.49072,                 1.1049,               0.002542,               0.002542,               0.002542
                    115,                0.28292,                0.20108,                  0.901,                0.89369,                0.83155,                0.91463,                0.79622,                0.56872,                0.49111,                 1.1053,               0.002476,               0.002476,               0.002476
                    116,                0.28073,                0.19572,                0.89827,                0.89582,                0.83155,                0.91404,                0.79638,                0.56915,                0.49119,                 1.1057,                0.00241,                0.00241,                0.00241
                    117,                0.28069,                0.19672,                0.89864,                0.89455,                0.83106,                0.91457,                 0.7963,                0.56988,                0.49167,                 1.1066,               0.002344,               0.002344,               0.002344
                    118,                0.28002,                0.19378,                0.89862,                0.89528,                0.83106,                0.91431,                0.79576,                0.57037,                0.49263,                 1.1071,               0.002278,               0.002278,               0.002278
                    119,                0.27808,                0.18967,                0.89745,                0.86806,                0.85443,                 0.9141,                0.79558,                0.57013,                0.49464,                 1.1068,               0.002212,               0.002212,               0.002212
                    120,                0.27563,                0.18821,                0.89419,                0.86648,                0.85938,                0.91365,                0.79502,                0.57139,                0.49563,                 1.1079,               0.002146,               0.002146,               0.002146
                    121,                0.27291,                0.18678,                0.89219,                0.86371,                0.86079,                0.91333,                0.79492,                0.57227,                0.49654,                  1.109,                0.00208,                0.00208,                0.00208
                    122,                 0.2702,                0.18716,                0.89074,                0.86386,                0.86193,                0.91289,                0.79448,                0.57362,                 0.4976,                 1.1105,               0.002014,               0.002014,               0.002014
